,age,gender,pref_party,position,representative
83161,34,m,Mitte,4,True
83187,35,f,Grüne,2,False
83275,39,m,Keine,4,False
83360,54,m,Keine,4,False
83444,25,f,Grüne,2,False
84069,41,m,Mitte,4,False
84176,30,f,Keine,3,False
84343,26,f,Keine,2,False
84428,35,m,Keine,2,False
84440,60,m,Andere,5,False
84495, , ,FDP,5,False
84700, , ,FDP,5,False
84815,61,m,SVP,6,True
84846,61,m,Keine,4,False
84883,53,m,Keine,5,False
84992,48,m,FDP,4,False
85398,61,m,FDP,6,False
85446,56,f,Mitte,4,False
85582,36,m,AL,1,False
85609,47,m,GLP,3,True
85747,63,m,FDP,5,False
86107,61,m,Keine,7,False
86151,34,m,Keine,5,False
86326,18,m,SVP,6,True
86386,17,m,SP,1,True
86512,32,m,Keine,5,False
86551,42,m,GLP,3,False
86668,82,m,FDP,6,False
86788,47,m,SP,1,False
86839,79,m,Mitte,5,False
87007,67,m,GLP,3,False
87073,33,m,SP,3,False
87082,60,m,FDP,5,True
87449,46,m,Keine,4,False
87736,24,m,FDP,6,False
88043,58,f,GLP,2,False
88200,46,m,Grüne,1,True
88568,24,m,GLP, ,False
88569,24,m,GLP, ,False
88573,24,m,GLP, ,False
89053,32,m,FDP,5,False
89078,55,m,GLP,2,False
89941,57,f,GLP,3,False
90007,59,m,SP,2,False
90128,45,m,FDP,5,False
90331,45,m,Grüne,6,False
90418,49,m,FDP,5,True
90515, , ,FDP,5,False
90517,61,m,SP,2,False
90587,18,f,Mitte,5,False
90617, , ,Keine,3,False
90660,38,f,SP,2,False
91026,63,f,Grüne,2,False
91107, , ,SP,2,False
91389,70,m,SP,2,False
91427,31,m,Grüne,1,False
91454,28,m,GLP,3,False
91600,56,m,GLP,2,False
91729,26,f,GLP,3,False
91890,19,m,FDP,5,False
91922,23,m,Andere,2,False
92118,49,m,GLP,3,False
92176,67,m,FDP,5,False
92678, , ,SP,2,False
92776,58,m,Mitte,3,True
93706,59,f,Mitte,4,False
93963,26,m,Keine,3,False
94142,54,m,GLP,5,False
94345,32,f,SP,1,False
94712,57,m,GLP,3,True
94724,55,f,Keine,5,False
94875,29,f,SP,2,False
94887,53,m,SVP,5,True
94954, , ,GLP,5,False
95008,19,m,FDP,5,False
95104,37,m,Keine,3,False
95133,50,f,SP,2,False
95177,38,m,Keine,5,False
95222,44,m,SVP,6,True
95328,51,m,Keine,4,False
95363,36,f,Grüne,2,False
95384,57,f,Keine,6,False
95520,62,m,GLP,3,True
95538,37,m,AL,1,False
95588,23,m,Grüne,2,False
95639,17,m,Keine,2,False
95844,46,m,SVP,5,True
95877,27,f,SP,1,True
96161,50,f,EVP,6,True
96213,63,f,Mitte,3,False
96282,33,f,Keine,3,False
96310,39,f,Mitte,2,False
96406,40,f,EDU,6,True
96515,33,m,SP,1,True
96636,60,m,Keine,6,False
96739,37,f,AL,1,False
96799,21,f,SP,1,True
96805,73,m,FDP,5,False
96990,58,m,Grüne,4,True
96996, , ,EVP, ,False
97239,27,f,SP,1,True
97324,20,m,FDP,5,True
97353,37,f,Keine,5,False
97453,40,m,GLP,3,False
97619,32,m,FDP,5,True
97670,53,f,Keine,3,False
97742,28,m,FDP,5,False
98067,52,m,GLP,3,True
98115,45,m,SP,1,True
98291,76,m,SVP,5,True
98357,30,f,GLP,2,False
98366,51,m,GLP,3,False
98576,61,m,Keine,4,False
98606,45,m,GLP,2,False
98862,35,m,Keine,3,False
98941,32,m,Grüne,2,False
98980,24,m,FDP,6,False
99130,20,m,GLP,2,True
99134,19,f,Keine,3,False
99309,34,f,Keine,4,False
99310,32,m,FDP,5,False
99374,36,m,SP,2,False
99454,56,m,FDP,6,False
99460,36,m,FDP,5,False
99471,50,f,SP,2,False
99616,46,f,GLP,3,False
99636,31,m,Grüne,2,False
99728,44,m,SP,2,False
99934,59,m,GLP,4,False
100050,26,m,SP,1,True
100144,28,m,SP,2,False
100259,22,m,FDP,5,False
100377,34,m,Grüne,6,True
100590, , ,Keine,3,False
100846,28,m,GLP,3,False
101047,42,f,GLP,3,False
101131,34,m,GLP,3,False
101377,33,m,GLP,2,False
101445,35,m,FDP,5,True
101497,24,f,Keine,2,False
101642,62,m,Keine,2,False
101868,38,m,FDP,5,False
102337,29,f,SP,2,False
102429,57,m,FDP,4,False
102445,24,f,Keine,3,False
102484,46,m,PdA,2,False
102496,26,m,Keine,7,False
102787,34,m,FDP,5,False
103009,33,m,Keine,3,False
103023,58,m,GLP,3,False
103067,26,m,Keine, ,False
103200,36,m,Keine,2,False
103254,55,m,Mitte,6,False
103309,38,m,FDP,6,False
103330,45,m,SP,3,True
103391,17,m,Keine,5,False
103424,35,m,FDP,5,False
103689, , ,Grüne,3,False
103916,28,m,GLP,3,True
103938,19,f,SVP,6,True
103961,52,f,Keine,5,False
104032,39,m,Mitte,3,False
104091,32,m,Keine,3,False
104175,52,m,GLP,4,True
104317,51,m,GLP,4,True
104378,58, ,SP,2,False
104495,53,f,GLP,3,False
104560,28,m,Keine,2,False
104731,60,m,SP,2,False
104745,56,m,FDP,6,False
104764,80,f,Keine, ,False
104788,49,m,Keine,4,False
104848, , ,Keine,5,False
104943, , ,Mitte,3,False
105093,28,f,AL,1,False
105140,51,m,Grüne,2,True
105251,55,m,Keine,6,False
105575,29,m,Keine,4,False
105626,56,m,SP,2,False
105693,55,f,Keine,2,False
105894,23,f,Grüne,2,False
105954,54,f,GLP,6,False
106076,25,m,SP,1,True
106111,58,m,Mitte,4,False
106135,47,m,SP,2,False
106191,32,none,Keine,1,False
106331,31,m,GLP,5,False
106466,27,m,SP,2,False
106487,35,m,GLP,3,False
106503,26,m,Mitte,3,False
106557,20,m,FDP,6,False
106726,23,m,FDP,6,False
106742,29,m,FDP,6,False
106910,40,m,GLP, ,False
106914,60,m,Keine, ,False
107019,37,m,FDP,4,False
107083,57,m,GLP,4,False
107323,58,m,Keine,5,False
107326,40,none,Keine,5,False
107603,52,m,SP,3,False
107623,43,f,Keine,4,False
107843,37,f,Keine,3,False
107868,51,m,FDP,5,False
107968, ,m,EVP,3,False
108076,35,m,Grüne,1,False
108266,58,m,Mitte,3,False
108274,77,m,Mitte,4,False
108339,30,m,Keine,5,False
108486,39,f,SP,1,False
108518,57,m,SP,1,True
108542,25,m,SP,2,False
108958,45,m,Keine,4,False
109118,34,m,AL,2,False
109358,59,f,GLP,5,False
109612,66,m,Keine,4,False
109635,39,m,GLP,3,False
109692,79, ,SP,2,False
109758,58,m,FDP,5,False
109769,34,m,PdA,1,False
110331,24,m,FDP,5,False
110354,40,m,GLP,3,False
110482,63,m,Keine,4,False
110788,53,m,SP,2,False
111013,69,f,SP,2,False
111029,65,f,Grüne,2,False
111054,56,m,Grüne,3,False
111107,63,m,Mitte,3,False
111224,18,f,Grüne,3,True
111231,64,m,SP,2,False
111384,62,f,Keine,4,False
111387,64,f,SP,2,False
111545,52,m,GLP,4,True
111551,30,f,SP,3,False
111603,72,m,GLP,3,False
111668,41,m,FDP,5,False
111761,39,m,FDP,5,False
112047,46,m,EDU,4,True
112548,59,m,SP,1,False
112726,18,m,Keine,2,False
112754,52,m,GLP, ,False
112901,26,m,SVP,6,True
112909,47,f,GLP,3,False
112924,24,m,Keine,4,False
113040,66,m,Mitte,5,True
113069,48,m,Keine,5,False
113111,60,f,SP,3,False
113259,25,m,Keine,1,False
113279,58,f,SP,2,False
113321,42,m,Grüne,2,False
113355,60,m,FDP,3,False
113371,18,m,FDP,5,False
113431,46,m,GLP,3,False
113542,45,f,Keine,6,False
113987,59,m,Keine,5,False
113991,48,f,Keine,2,False
114343,43,m,FDP,5,False
114536,27,m,GLP,3,False
114538,37,f,SP,2,False
114615,21,f,SP,2,True
114773,28,m,GLP,3,False
115094,55,f,Keine,4,False
115244,28,m,SP,2,False
115289,24,m,Keine,3,False
115300, , ,Keine,4,False
115303,36,f,GLP,2,False
115400,34,m,Mitte,4,True
116186,19,m,Keine,5,False
116371,29,m,SVP,6,True
116404,24,m,Keine,3,False
116691,40,m,FDP,5,False
116852,66,m,SP,2,False
116968,29,f,GLP,2,False
117056,34,m,Grüne,1,True
117096,28,m,SP,2,False
117340, ,m,Andere,7,False
117505,32,f,SP,1,False
117539,46,f,GLP,3,False
117564,64,m,GLP,5,True
117911,23,f,GLP,3,False
118143,58,m,FDP,5,False
118261,73,f,Mitte,5,False
118278,33,m,GLP,4,False
118403,54,f,AL,1,False
118692,31,m,Grüne,3,False
118758,65,m,SP,2,False
118775,25,m,Grüne,2,True
119043,33,m,SP,3,True
119129,27,m,Keine,3,False
119150,20,m,SVP,5,True
119237,49,none,Keine,2,False
119328,65,m,GLP,5,False
119515,26,x,SP,1,False
119530, ,m,FDP,5,False
119663,43,m,GLP,4,False
119725,37,m,AL,2,False
119813,43,m,Keine,4,False
120196,32,m,Keine,2,False
120483,20,x,Grüne,3,False
120920, , ,FDP,5,False
120921,59,m,GLP,4,False
120942,36,f,SP,1,True
120952,73,m,GLP,3,False
120974,52,f,GLP,5,False
120992,57,f,Andere,2,False
121002,56,m,SP,4,False
121017,47,m,SP,2,False
121184,41,f,Grüne,3,False
121202,50,m,GLP,3,False
121210,52,f,Grüne,3,True
121272,30,m,Keine,3,False
121276, , ,Keine,5,False
121593,60,f,GLP,4,True
121604,51,m,SP,2,False
121768,36,m,Keine,2,False
121915,44,m,Mitte,4,True
122053,51,m,Grüne,3,False
122115,44,m,GLP,4,False
122187,68,f,Keine,3,False
122197,56,m,GLP,4,False
122205, , ,Keine,3,False
122277,36,m,Keine,5,False
122288,32,m,Keine,5,False
122382,31,m,Grüne,2,False
122428,49,m,Grüne,2,False
122562,37,m,FDP,5,False
122672,36,m,SP,2,False
122745,50,m,Grüne,2,True
122780, ,m,GLP,5,True
122781,31,m,Keine, ,False
122803,37,m,SP,1,False
