candidates,party_short,color,list
4359,SVP,#4F7942,SVP
4362,PdA,#888888,Übrige
4368,GLP,#32CD32,GLP
4371,Grüne,#008000,Grüne
4396,Grüne,#008000,Grüne
4406,EDU,#00008B,EDU
4412,GLP,#32CD32,GLP
4417,SP,#FF0000,SP
4423,JUSO,#FF0000,SP
4438,JSVP,#4F7942,SVP
4442,Parteilos,#888888,Übrige
4444,SP,#FF0000,SP
4454,EVP,#FFA500,EVP
4455,EVP,#FFA500,EVP
4456,FDP,#0000FF,FDP
4459,Grüne,#008000,Grüne
4463,SVP,#4F7942,SVP
4470,PdA,#888888,Übrige
4475,SVP,#4F7942,SVP
4484,JUSO,#FF0000,SP
4488,EVP,#FFA500,EVP
4489,Die Mitte,#C56C46,Mitte
4491,JEVP,#FFA500,EVP
4500,Grüne,#008000,Grüne
4504,SP,#FF0000,SP
4506,JFS,#0000FF,FDP
4512,JG,#008000,Grüne
4520,Übrige,#888888,Übrige
4535,EDU,#00008B,EDU
4538,Grüne,#008000,Grüne
4539,GLP,#32CD32,GLP
4543,JG,#008000,Grüne
4547,Parteilos,#888888,Übrige
4554,SVP,#4F7942,SVP
4557,Die Mitte,#C56C46,Mitte
4571,EVP,#FFA500,EVP
4600,Übrige,#888888,Übrige
4611,GLP,#32CD32,GLP
4617,GLP,#32CD32,GLP
4622,Die Mitte,#C56C46,Mitte
4627,EVP,#FFA500,EVP
4628,Übrige,#888888,Übrige
4637,EDU,#00008B,EDU
4639,Grüne,#008000,Grüne
4640,JM,#C56C46,Mitte
4641,JFS,#0000FF,FDP
4643,SVP,#4F7942,SVP
4649,Übrige,#888888,Übrige
4651,Grüne,#008000,Grüne
4655,Die Mitte,#C56C46,Mitte
4662,Grüne,#008000,Grüne
4663,Die Mitte,#C56C46,Mitte
4665,JM,#C56C46,Mitte
4672,EDU,#00008B,EDU
4673,JGLP,#32CD32,GLP
4679,Grüne,#008000,Grüne
4689,Die Mitte,#C56C46,Mitte
4696,SP,#FF0000,SP
4699,GLP,#32CD32,GLP
4701,Die Mitte,#C56C46,Mitte
4702,Grüne,#008000,Grüne
4703,Grüne,#008000,Grüne
4710,GLP,#32CD32,GLP
4723,Übrige,#888888,Übrige
4725,JG,#008000,Grüne
4732,EVP,#FFA500,EVP
4747,Parteilos,#888888,Übrige
4757,GLP,#32CD32,GLP
4761,GLP,#32CD32,GLP
