,FDP,GLP,EVP,Übrige,SP,Mitte,SVP,Grüne,EDU
1542200,0.0,0.0,0.0,58.333333333333336,0.0,0.0,27.77777777777778,0.0,13.88888888888889
1542222,0.0,8.333333333333332,11.11111111111111,30.555555555555557,0.0,47.22222222222222,0.0,2.7777777777777777,0.0
1542227,83.33333333333334,0.0,2.7777777777777777,0.0,0.0,8.333333333333332,5.555555555555555,0.0,0.0
1542230,0.0,19.444444444444446,13.88888888888889,5.555555555555555,22.22222222222222,0.0,0.0,38.88888888888889,0.0
1542294,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1542357,19.444444444444446,0.0,0.0,11.11111111111111,0.0,0.0,63.888888888888886,0.0,5.555555555555555
1542382,0.0,0.0,0.0,0.0,0.0,0.0,91.66666666666666,0.0,8.333333333333332
1542390,5.555555555555555,11.11111111111111,5.555555555555555,47.22222222222222,0.0,27.77777777777778,0.0,2.7777777777777777,0.0
1542406,0.0,0.0,0.0,5.555555555555555,72.22222222222221,0.0,0.0,22.22222222222222,0.0
1542465,0.0,0.0,0.0,25.0,2.7777777777777777,0.0,0.0,72.22222222222221,0.0
1542480,0.0,8.333333333333332,38.88888888888889,19.444444444444446,0.0,33.33333333333333,0.0,0.0,0.0
1542618,0.0,22.22222222222222,0.0,0.0,55.55555555555556,2.7777777777777777,0.0,19.444444444444446,0.0
1542698,0.0,80.55555555555556,2.7777777777777777,5.555555555555555,5.555555555555555,2.7777777777777777,0.0,2.7777777777777777,0.0
1542732,22.22222222222222,0.0,0.0,16.666666666666664,0.0,0.0,58.333333333333336,0.0,2.7777777777777777
1542768,27.77777777777778,0.0,0.0,5.555555555555555,0.0,0.0,66.66666666666666,0.0,0.0
1542797,25.0,0.0,0.0,11.11111111111111,0.0,0.0,63.888888888888886,0.0,0.0
1542823,0.0,2.7777777777777777,36.11111111111111,22.22222222222222,0.0,36.11111111111111,0.0,0.0,2.7777777777777777
1542881,0.0,5.555555555555555,25.0,19.444444444444446,11.11111111111111,13.88888888888889,0.0,25.0,0.0
1542896,44.44444444444444,33.33333333333333,0.0,5.555555555555555,0.0,16.666666666666664,0.0,0.0,0.0
1542967,0.0,47.22222222222222,13.88888888888889,2.7777777777777777,11.11111111111111,22.22222222222222,0.0,2.7777777777777777,0.0
1542997,5.555555555555555,0.0,0.0,5.555555555555555,0.0,5.555555555555555,69.44444444444444,0.0,13.88888888888889
1543098,0.0,0.0,0.0,5.555555555555555,13.88888888888889,0.0,0.0,80.55555555555556,0.0
1543254,61.111111111111114,2.7777777777777777,0.0,25.0,0.0,2.7777777777777777,8.333333333333332,0.0,0.0
1543270,0.0,0.0,0.0,8.333333333333332,0.0,0.0,72.22222222222221,0.0,19.444444444444446
1543275,0.0,0.0,2.7777777777777777,11.11111111111111,36.11111111111111,0.0,0.0,50.0,0.0
1543283,0.0,0.0,0.0,0.0,91.66666666666666,0.0,0.0,8.333333333333332,0.0
1543294,0.0,2.7777777777777777,5.555555555555555,2.7777777777777777,27.77777777777778,0.0,0.0,61.111111111111114,0.0
1543461,0.0,11.11111111111111,16.666666666666664,36.11111111111111,5.555555555555555,30.555555555555557,0.0,0.0,0.0
1543462,19.444444444444446,61.111111111111114,0.0,5.555555555555555,0.0,11.11111111111111,0.0,2.7777777777777777,0.0
1543509,0.0,5.555555555555555,0.0,11.11111111111111,47.22222222222222,2.7777777777777777,0.0,33.33333333333333,0.0
1543530,0.0,16.666666666666664,2.7777777777777777,13.88888888888889,44.44444444444444,2.7777777777777777,0.0,19.444444444444446,0.0
1543822,13.88888888888889,5.555555555555555,2.7777777777777777,16.666666666666664,0.0,2.7777777777777777,38.88888888888889,2.7777777777777777,16.666666666666664
1543945,0.0,47.22222222222222,8.333333333333332,8.333333333333332,0.0,30.555555555555557,0.0,2.7777777777777777,2.7777777777777777
1544017,0.0,0.0,0.0,13.88888888888889,16.666666666666664,0.0,0.0,69.44444444444444,0.0
1544084,0.0,50.0,5.555555555555555,8.333333333333332,2.7777777777777777,30.555555555555557,0.0,2.7777777777777777,0.0
1544112,13.88888888888889,11.11111111111111,5.555555555555555,19.444444444444446,0.0,44.44444444444444,5.555555555555555,0.0,0.0
1544221,5.555555555555555,8.333333333333332,2.7777777777777777,19.444444444444446,0.0,41.66666666666667,16.666666666666664,0.0,5.555555555555555
1544320,0.0,11.11111111111111,19.444444444444446,11.11111111111111,0.0,55.55555555555556,0.0,2.7777777777777777,0.0
1544414,0.0,13.88888888888889,8.333333333333332,36.11111111111111,0.0,13.88888888888889,0.0,27.77777777777778,0.0
1544444,0.0,80.55555555555556,2.7777777777777777,0.0,8.333333333333332,0.0,0.0,8.333333333333332,0.0
